# TESS ephemerides
#
# source: examples/ephem/tess.tm
# start:
#  UTC: 2018-04-20T20:00:00
#   ET: 577526469.186
# end:
#  UTC: 2018-06-30T00:00:00
#   ET: 583588869.184
# increment: 3600.0s
#
# time is TESS epoch in seconds
# positions are relative to the solar system barycenter, in km
# velocities in km/s
#
# time, x, y, z, vx, vy, vz
498.556732108,-129344842.44,-68705504.7975,-29813043.7339,14.2485431615,-23.847540088,-10.2503914456
498.564940016,-129293526.457,-68791368.3709,-29849948.9523,14.2603402842,-23.8544705559,-10.2525205275
498.573322842,-129242167.959,-68877257.1741,-29886861.9765,14.272163123,-23.8615581814,-10.2547286109
498.581881718,-129190766.854,-68963171.7896,-29923783.098,14.2840103065,-23.8688123068,-10.2570197789
498.590617861,-129139323.057,-69049112.8342,-29960712.6238,14.2958804717,-23.8762427555,-10.2593983503
498.599532574,-129087836.488,-69135080.9614,-29997650.8765,14.30777227,-23.8838598727,-10.2618688981
498.60862725,-129036307.072,-69221076.8624,-30034598.196,14.3196843733,-23.8916745691,-10.2644362708
498.617903379,-128984734.738,-69307101.2692,-30071554.94,14.3316154808,-23.8996983677,-10.2671056149
498.627362548,-128933119.419,-69393154.9562,-30108521.4853,14.3435643245,-23.9079434565,-10.2698823999
498.637006448,-128881461.055,-69479238.7431,-30145498.2292,14.355529677,-23.9164227447,-10.2727724457
498.646836881,-128829759.587,-69565353.4974,-30182485.5903,14.3675103581,-23.9251499248,-10.2757819528
498.656855762,-128778014.963,-69651500.1374,-30219484.0105,14.3795052427,-23.9341395419,-10.2789175365
498.667065127,-128726227.134,-69737679.6355,-30256493.9563,14.3915132693,-23.9434070699,-10.2821862635
498.677467138,-128674396.053,-69823893.0215,-30293515.9204,14.4035334502,-23.9529689952,-10.285595694
498.688064093,-128622521.68,-69910141.3866,-30330550.4238,14.4155648816,-23.9628429111,-10.2891539276
498.69885843,-128570603.974,-69996425.8874,-30367598.0177,14.427606756,-23.973047623,-10.2928696557
498.709852739,-128518642.899,-70082747.7506,-30404659.2855,14.4396583765,-23.9836032646,-10.2967522195
498.721049767,-128466638.422,-70169108.2779,-30441734.8459,14.4517191732,-23.9945314296,-10.3008116754
498.73245243,-128414590.511,-70255508.8517,-30478825.3548,14.4637887216,-24.0058553202,-10.3050588688
498.744063826,-128362499.133,-70341950.9409,-30515931.5091,14.4758667654,-24.0175999122,-10.309505518
498.755887242,-128310364.26,-70428436.1081,-30553054.0491,14.4879532415,-24.0297921445,-10.3141643083
498.767926174,-128258185.86,-70514966.0164,-30590193.7631,14.5000483114,-24.0424611321,-10.3190490005
498.780184332,-128205963.901,-70601542.4381,-30627351.4909,14.5121523969,-24.0556384088,-10.3241745532
498.792665665,-128153698.351,-70688167.2638,-30664528.1284,14.5242662233,-24.0693582048,-10.3295572639
498.805374375,-128101389.171,-70774842.5128,-30701724.6331,14.5363908696,-24.083657764,-10.3352149307
498.818314935,-128049036.322,-70861570.3441,-30738942.0292,14.5485278312,-24.0985777081,-10.3411670387
498.831492115,-127996639.754,-70948353.0699,-30776181.4147,14.5606790919,-24.1141624584,-10.3474349761
498.844911,-127944199.412,-71035193.1698,-30813443.9682,14.5728472134,-24.1304607219,-10.3540422846
498.858577025,-127891715.23,-71122093.3073,-30850730.9574,14.5850354425,-24.1475260579,-10.3610149527
498.872496001,-127839187.128,-71209056.3485,-30888043.7487,14.5972478419,-24.16541754,-10.3683817589
498.886674147,-127786615.01,-71296085.3831,-30925383.8173,14.6094894494,-24.1842005329,-10.3761746763
498.901118136,-127733998.761,-71383183.7489,-30962752.7603,14.6217664755,-24.2039476074,-10.3844293522
498.915835133,-127681338.24,-71470355.0595,-31000152.3104,14.6340865456,-24.2247396264,-10.3931856779
498.930832846,-127628633.276,-71557603.2363,-31037584.3527,14.6464590021,-24.2466670411,-10.4024884741
498.946119587,-127575883.659,-71644932.546,-31075050.9436,14.6588952829,-24.2698314425,-10.4123883137
498.961704331,-127523089.136,-71732347.644,-31112554.3335,14.6714093976,-24.2943474385,-10.422942523
498.977596798,-127470249.397,-71819853.6247,-31150096.993,14.6840185322,-24.3203449354,-10.4342164049
498.993807533,-127417364.064,-71907456.082,-31187681.6445,14.6967438248,-24.3479719302,-10.446284745
499.010348015,-127364432.671,-71995161.1804,-31225311.2993,14.7096113648,-24.3773979634,-10.4592336838
499.027230768,-127311454.653,-72082975.7394,-31262989.3029,14.7226534972,-24.4088184187,-10.473163064
499.044469505,-127258429.309,-72170907.3367,-31300719.3889,14.7359105428,-24.4424599292,-10.4881894017
499.06207929,-127205355.779,-72258964.432,-31338505.7463,14.7494330878,-24.4785872526,-10.5044496906
499.080076732,-127152232.996,-72347156.5197,-31376353.101,14.7632850773,-24.5175121065,-10.5221063297
499.09848022,-127099059.634,-72435494.3175,-31414266.819,14.7775480496,-24.5596046651,-10.5413535878
499.117310207,-127045834.032,-72523990.0033,-31452253.0353,14.7923270216,-24.6053087364,-10.5624262128
499.136589546,-126992554.098,-72612657.5147,-31490318.8197,14.8077588147,-24.6551620931,-10.5856110763
499.156343915,-126939217.171,-72701512.9346,-31528472.3921,14.8240240632,-24.7098241835,-10.6112632126
