# one hour of 5Hz jitter data
# from 24-hour data set generated 13apr2017 by tamz
# t,dq0,dq1,dq2,dq3
0,1.00000012702548,-3.04806932927351e-06,1.19151272669552e-06,-5.03621919226843e-06
0.200000000000045,1.00000012702545,-2.85906172603403e-06,1.24345139816337e-06,-5.13898495945603e-06
0.400000000000091,1.00000012702582,-2.66031066945178e-06,1.27099154645371e-06,-5.1683162117927e-06
0.600000000000136,1.00000012702603,-2.53277361918387e-06,1.31688217993794e-06,-5.18011640342209e-06
0.799999999999955,1.00000012702602,-2.39942783334356e-06,1.37859032710991e-06,-5.22912554486166e-06
1,1.00000012702636,-2.25237177023385e-06,1.40694232750663e-06,-5.22085681303741e-06
1.20000000000005,1.00000012702665,-2.15380056750418e-06,1.42345831112903e-06,-5.20247317634809e-06
1.40000000000009,1.00000012702685,-2.04850364187315e-06,1.44008202653673e-06,-5.20198487999335e-06
1.60000000000014,1.00000012702747,-1.94298348546191e-06,1.43087927654759e-06,-5.12591980033478e-06
1.79999999999995,1.00000012702807,-1.88826457454307e-06,1.41274669939948e-06,-5.0330546250768e-06
2,1.00000012702855,-1.83206040644483e-06,1.39114208131882e-06,-4.96403058935363e-06
2.20000000000005,1.00000012702925,-1.78833132886448e-06,1.35399557740432e-06,-4.84895189483553e-06
2.40000000000009,1.00000012702972,-1.78886356732091e-06,1.31704548577902e-06,-4.76097044974783e-06
2.60000000000014,1.00000012702989,-1.77401325617606e-06,1.27198350878197e-06,-4.74251569242828e-06
2.79999999999995,1.00000012703028,-1.73326428557202e-06,1.20914895367086e-06,-4.69113406027094e-06
3,1.00000012703059,-1.69995288657604e-06,1.13884198693973e-06,-4.65585164430293e-06
3.20000000000005,1.00000012703077,-1.6550841458159e-06,1.05530418862201e-06,-4.65344089787406e-06
3.40000000000009,1.0000001270312,-1.61312497519526e-06,9.67258460198711e-07,-4.59301091022823e-06
3.60000000000014,1.00000012703157,-1.58713685428826e-06,8.82966054611967e-07,-4.53756301049824e-06
3.79999999999995,1.00000012703178,-1.56429634958367e-06,7.94872105178146e-07,-4.51692356055744e-06
4,1.0000001270321,-1.5382349266152e-06,7.17853700156479e-07,-4.46650903922208e-06
4.20000000000005,1.00000012703228,-1.51012261510961e-06,6.40470123068615e-07,-4.44852301694637e-06
4.40000000000009,1.00000012703224,-1.46516441706847e-06,5.49170645593872e-07,-4.48510678741076e-06
4.60000000000014,1.00000012703234,-1.39440393517876e-06,4.70739921824143e-07,-4.49403400075432e-06
4.79999999999995,1.00000012703236,-1.29161426744902e-06,3.86033803236041e-07,-4.52832643355744e-06
5,1.00000012703232,-1.17951940646014e-06,2.86365338053596e-07,-4.57341187733162e-06
5.20000000000005,1.00000012703262,-1.0741931058102e-06,2.21266782514384e-07,-4.53873618258549e-06
5.40000000000009,1.00000012703296,-9.69563124322316e-07,1.62407930645592e-07,-4.48917074877958e-06
5.60000000000014,1.00000012703322,-8.80572236975664e-07,9.00857083305229e-08,-4.45067406994876e-06
5.79999999999995,1.00000012703369,-7.91701756710887e-07,5.45405358202966e-08,-4.36288108774524e-06
6,1.00000012703408,-6.86769117054509e-07,7.60724465018181e-09,-4.28937661609702e-06
6.20000000000005,1.00000012703438,-6.07433565855652e-07,-5.89723266504472e-08,-4.2322028160971e-06
6.40000000000009,1.00000012703488,-5.30232148672136e-07,-8.86747380732245e-08,-4.12240900331262e-06
6.60000000000014,1.00000012703537,-4.30739874362346e-07,-1.330857998319e-07,-4.01178480545494e-06
6.79999999999995,1.0000001270359,-3.77862987944316e-07,-1.83644920572629e-07,-3.88087069284893e-06
7,1.00000012703665,-3.28625558312576e-07,-1.7591067336814e-07,-3.68736762793032e-06
7.20000000000005,1.00000012703736,-2.53370013409207e-07,-1.69251786547725e-07,-3.49670385343254e-06
7.40000000000009,1.00000012703798,-2.33360801821236e-07,-1.66125686453661e-07,-3.31458458827788e-06
7.60000000000014,1.00000012703871,-2.2623754065889e-07,-1.02076418196512e-07,-3.09166509849385e-06
7.79999999999995,1.00000012703936,-1.94522787738682e-07,-5.63992339080999e-08,-2.87745776731546e-06
8,1.00000012703994,-2.16702174014177e-07,-2.76625326256497e-08,-2.66677409505034e-06
8.20000000000005,1.00000012704058,-2.39395131797909e-07,5.72321851646795e-08,-2.41141738947098e-06
8.40000000000009,1.00000012704115,-2.38445228583663e-07,1.05434431973278e-07,-2.16033907294438e-06
8.60000000000014,1.00000012704161,-3.21179792471017e-07,1.33433519823589e-07,-1.92277864472651e-06
8.79999999999995,1.00000012704204,-4.11396437052097e-07,2.07518274814023e-07,-1.65528967174811e-06
9,1.00000012704239,-4.64930990456101e-07,2.2976579703779e-07,-1.40793338111039e-06
9.20000000000005,1.00000012704261,-5.95308078390859e-07,2.25916390945297e-07,-1.19099633225095e-06
9.40000000000009,1.00000012704274,-7.26388210005313e-07,2.76477088504562e-07,-9.72546982863642e-07
9.60000000000014,1.00000012704284,-8.15256327337324e-07,2.78071688841752e-07,-7.85065420831621e-07
9.79999999999995,1.0000001270428,-9.81733438948189e-07,2.60957037277743e-07,-6.33914076376974e-07
10,1.00000012704271,-1.13653635807655e-06,3.15343231926252e-07,-4.83665998314564e-07
10.2,1.00000012704262,-1.24700126470471e-06,3.24086290904441e-07,-3.63498318715905e-07
10.4000000000001,1.00000012704238,-1.44912225679382e-06,3.13962433259873e-07,-2.86058691317814e-07
