This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Apr 03 07:45:18 2020																																																				
																																																				
TIC ID	TOI	Previous CTOI	Master priority	SG1A priority	SG1B priority	SG2 priority	SG3 priority	SG4 priority	SG5 priority	ACWG priority	TESS Disposition	TFOPWG Disposition	TESS mag	TESS mag error	PCs	Source	RA (degrees)	Dec (degrees)	PM RA (mas/yr)	PM RA error	PM Dec (mas/yr)	PM Dec error	Epoch (BJD)	Epoch error	Period (days)	Period error	Duration (hours)	Duration error	Depth (mmag)	Depth (mmag) error	Depth (ppm)	Depth (ppm) error	Planet Radius (R_Earth)	Planet Radius error	Planet Insolation (Earth flux)	Planet Eq Temp (K)	Planet SNR	Stellar Distance (pc)	Stellar Distance error	Stellar Teff (K)	Stellar Teff error	Stellar log(g) (cm/s2)	Stellar log(g) error	Stellar Radius (R_Sun)	Stellar Radius error	Stellar Metallicity	Stellar Metallicity error	Sectors	Comments	Date TOI Alerted (by TESS Project)	Date TOI Updated (by TESS Project)	Date Modified (by ExoFOP-TESS)
231663901	101.01		5	5	5	5	5	5	5	5	KP	KP	12.4069	0.006	1	spoc	318.737012	-55.871863	12.641	0.044	-16.011	0.041	2458326.008911	0.000339	1.430401	0.000032	1.638765	0.026081	22.436283	0.263814	20452.53125	242.952332	13.145008	0.144216	1193.379517	1499.044067	0.887868	375.31	4.411	5600		4.48851		0.86				1	WASP-46 b	2018-09-05	2019-12-17	2020-03-04
149603524	102.01		5	5	5	5	5	5	5	5	KP	KP	9.7109	0.006	1	spoc	87.139821	-63.988329	-15.641	0.037	26.046	0.037	2458326.078613	0.000099	4.411943	0.000005	3.776425	0.008533	15.285608	0.033203	13979.925781	30.580667	15.397243	0.032379	586.130005	1370	474.380951	175.631	0.588	6280		4.32092		1.28		0.24	0.05	"1,2,3,4,6"	WASP 62b	2018-09-05	2019-12-17	2020-01-16
336732616	103.01		5	5	5	5	5	5	5	5	KP	KP	11.5232	0.008	1	spoc	312.457488	-24.428694	10.426	0.07	15.62	0.051	2458327.252563	0.000586	3.547854	0.000149	3.494333	0.049205	11.377524	0.133944	10424.37207	123.359314	14.581841	0.196435	1212.004395	1504.859009	0.800299	411.211	7.752	6351		4.22896		1.4				1	HATS-3	2018-09-05	2019-12-17	2020-01-16
231670397	104.01		5	5	5	5	5	5	5	5	KP	KP	9.8638	0.006	1	spoc	319.949697	-58.148933	10.552	0.045	-10.658	0.043	2458327.673462	0.000842	4.087445	0.000239	5.59014	0.066407	3.900662	0.05299	3586.197021	48.804031	12.652102	0.221452	1672.217529	1630.958618	0.808662	316.678	2.9655	6036		3.93359		2.07				1	WASP-73	2018-09-05	2019-12-17	2020-01-16
144065872	105.01		5	5	5	5	5	5	5	5	KP	KP	9.4995	0.006	1	spoc	337.457824	-48.003099	91.976	0.052	-6.861	0.069	2458326.505981	0.000156	2.184659	0.000023	2.869426	0.012752	12.92819	0.050966	11836.691406	46.940147	12.514586	0.056125	985.883728	1429.144653	0.886027	137.544	0.7905	5630		4.37759		1.13				1	WASP-95	2018-09-05	2019-12-17	2020-01-16
38846515	106.01		5	5	5	5	5	5	5	5	KP	KP	10.3157	0.006	1	spoc	68.959816	-64.027039	10.845	0.035	-0.499	0.052	2458326.745117	0.000179	2.84938	0.000006	3.776111	0.01379	8.121677	0.02748	7452.432617	25.309372	9.06138	0.02705	1311.385376	1534.80188	278.009491	364.411	2.729	6900		4.438		1				"1,2,3,4,5,6"	WASP-100b	2018-09-05	2019-12-17	2020-01-16
92352620	107.01		5	5	5	5	5	5	5	5	KP	KP	9.6433	0.006	1	spoc	313.783239	-34.135751	26.376	0.078	-44.947	0.059	2458328.299316	0.000307	3.950054	0.000088	4.557506	0.023461	14.207006	0.082188	12999.897461	75.694893	18.775574	0.097373	1098.209595	1468.219727	0.8602	211.211	2.4835	6153		4.18077		1.62		0.22	0.1	1	WASP-94A (planet host)	2018-09-05	2019-12-17	2020-01-16
289793076	108.01		5	5	5	5	5	5	5	5	KP	KP	13.163	0.01	1	spoc	316.96148	-26.09672	3.479	0.063	-10.313	0.038	2458328.084839	0.000922	3.043839	0.000202	2.660993	0.073265	26.534793	0.619302	24143.222656	570.235168	13.999502	0.329885	400.955292	1141.284058	0.820267	421.855	8.339	5523		4.52192		0.89				1	HATS-13	2018-09-05	2019-12-17	2020-01-16
29344935	109.01		5	5	5	5	5	5	5		KP	KP	13.2366	0.007	1	spoc	313.215475	-25.687376	1.053	0.052	-9.881	0.029	2458326.127563	0.001296	2.766737	0.000254	2.568721	0.112022	17.172409	0.532229	15691.951172	490.081055	11.661768	0.527223			0.834164	513.011	9.1275	5346		4.48823		0.93				1	HATS-14	2018-09-05	2019-12-17	2020-03-04
281459670	110.01		5	5	5	5	5	5	5	5	KP	KP	11.6714	0.006	1	spoc	5.618525	-59.942589	-22.309	0.036	-4.893	0.034	2458328.040405	0.000446	3.174305	0.000044	2.723339	0.030983	17.075061	0.164396	15603.693359	151.40271	13.668801	0.12625	662.491028	1293.941772	100.352081	342.14	2.912	5943		4.42524		1.06		-0.1	0.1	"1,2"	HATS-30	2018-09-05	2019-12-17	2020-01-16
