Skipped 231663901 ('sector-1', 'cam2', 'ccd4')
Skipped 149603524 ('sector-1', 'cam4', 'ccd4')
Skipped 231670397 ('sector-1', 'cam2', 'ccd4')
Skipped 144065872 ('sector-1', 'cam2', 'ccd3')
Skipped 38846515 ('sector-1', 'cam4', 'ccd1')
Skipped 281459670 ('sector-1', 'cam3', 'ccd1')
Skipped 355703913 ('sector-1', 'cam3', 'ccd1')
Skipped 388104525 ('sector-1', 'cam4', 'ccd1')
Skipped 25155310 ('sector-1', 'cam4', 'ccd1')
Skipped 281541555 ('sector-1', 'cam2', 'ccd2')
Skipped 238176110 ('sector-1', 'cam3', 'ccd2')
Skipped 322307342 ('sector-1', 'cam3', 'ccd1')
Skipped 266980320 ('sector-1', 'cam2', 'ccd2')
Skipped 278683844 ('sector-1', 'cam4', 'ccd4')
Skipped 278683844 ('sector-1', 'cam4', 'ccd4')
Skipped 394137592 ('sector-1', 'cam3', 'ccd1')
Skipped 231702397 ('sector-1', 'cam2', 'ccd1')
Skipped 29831208 ('sector-1', 'cam4', 'ccd1')
Skipped 52368076 ('sector-1', 'cam3', 'ccd1')
Skipped 52368076 ('sector-1', 'cam3', 'ccd1')
Skipped 52368076 ('sector-1', 'cam3', 'ccd1')
Skipped 391949880 ('sector-1', 'cam4', 'ccd2')
Skipped 201248411 ('sector-1', 'cam2', 'ccd2')
Skipped 263003176 ('sector-1', 'cam3', 'ccd3')
Skipped 235037761 ('sector-1', 'cam3', 'ccd1')
Skipped 89020549 ('sector-1', 'cam2', 'ccd3')
Skipped 219338557 ('sector-1', 'cam2', 'ccd2')
Skipped 234994474 ('sector-1', 'cam2', 'ccd2')
Skipped 267263253 ('sector-1', 'cam3', 'ccd2')
Skipped 410153553 ('sector-1', 'cam3', 'ccd2')
Skipped 176957796 ('sector-1', 'cam4', 'ccd3')
Skipped 277683130 ('sector-1', 'cam2', 'ccd1')
Skipped 140068425 ('sector-1', 'cam2', 'ccd4')
Skipped 403224672 ('sector-1', 'cam2', 'ccd1')
Skipped 261136679 ('sector-1', 'cam4', 'ccd2')
Skipped 265612438 ('sector-1', 'cam2', 'ccd4')
Skipped 355636844 ('sector-1', 'cam2', 'ccd2')
