Skipped 231663901 ('sector-1', 'cam2', 'ccd4') TIC not in AN File
Skipped 231670397 ('sector-1', 'cam2', 'ccd4') TIC not in AN File
Skipped 144065872 ('sector-1', 'cam2', 'ccd3') TIC not in AN File
Skipped 355703913 ('sector-1', 'cam3', 'ccd1') TIC not in AN File
Skipped 281541555 ('sector-1', 'cam2', 'ccd2') TIC not in AN File
Skipped 238176110 ('sector-1', 'cam3', 'ccd2') TIC not in AN File
Skipped 231702397 ('sector-1', 'cam2', 'ccd1') TIC not in AN File
Skipped 235037761 ('sector-1', 'cam3', 'ccd1') TIC not in AN File
Skipped 89020549 ('sector-1', 'cam2', 'ccd3') TIC not in AN File
Skipped 219338557 ('sector-1', 'cam2', 'ccd2') TIC not in AN File
Skipped 267263253 ('sector-1', 'cam3', 'ccd2') TIC not in AN File
Skipped 410153553 ('sector-1', 'cam3', 'ccd2') TIC not in AN File
Skipped 176957796 ('sector-1', 'cam4', 'ccd3') AstroNetFile DNE
Skipped 277683130 ('sector-1', 'cam2', 'ccd1') TIC not in AN File
Skipped 140068425 ('sector-1', 'cam2', 'ccd4') TIC not in AN File
Skipped 403224672 ('sector-1', 'cam2', 'ccd1') TIC not in AN File
Skipped 265612438 ('sector-1', 'cam2', 'ccd4') TIC not in AN File
Skipped 403287048 ('sector-1', 'cam2', 'ccd1') TIC not in AN File
Skipped 220518305 ('sector-1', 'cam3', 'ccd4') TIC not in AN File
Skipped 403136413 ('sector-1', 'cam2', 'ccd4') TIC not in AN File
Skipped 79395355 ('sector-1', 'cam2', 'ccd4') TIC not in AN File
Skipped 251848941 ('sector-2', 'cam2', 'ccd3') AN Score: 0.039

Skipped 51912829 ('sector-1', 'cam3', 'ccd1') TIC not in AN File
Skipped 76989773 ('sector-2', 'cam1', 'ccd1') TIC not in AN File
Skipped 183979262 ('sector-1', 'cam3', 'ccd3') TIC not in AN File
Skipped 100100827 ('sector-2', 'cam2', 'ccd2') TIC not in AN File
Skipped 279741379 ('sector-1', 'cam3', 'ccd4') AN Score: 0.026

Skipped 280830734 ('sector-1', 'cam3', 'ccd4') TIC not in AN File
Skipped 309792357 ('sector-1', 'cam4', 'ccd4') AstroNetFile DNE
Skipped 410214986 ('sector-1', 'cam3', 'ccd2') TIC not in AN File
Skipped 259962054 ('sector-1', 'cam3', 'ccd4') TIC not in AN File
Skipped 281781375 ('sector-1', 'cam3', 'ccd1') TIC not in AN File
Skipped 281575427 ('sector-1', 'cam3', 'ccd1') TIC not in AN File
Skipped 55650590 ('sector-1', 'cam4', 'ccd1') AstroNetFile DNE
Skipped 206609630 ('sector-1', 'cam3', 'ccd1') TIC not in AN File
Skipped 231912935 ('sector-1', 'cam3', 'ccd1') TIC not in AN File
Skipped 316937670 ('sector-1', 'cam2', 'ccd2') TIC not in AN File
Skipped 144440290 ('sector-2', 'cam2', 'ccd4') AN Score: 0.001

Skipped 326453034 ('sector-2', 'cam1', 'ccd4') TIC not in AN File
Skipped 70797900 ('sector-2', 'cam1', 'ccd2') AN Score: 0.000

Skipped 47525799 ('sector-2', 'cam1', 'ccd4') TIC not in AN File
Skipped 47484268 ('sector-2', 'cam1', 'ccd4') TIC not in AN File
Skipped 160074939 ('sector-2', 'cam1', 'ccd1') AN Score: 0.000

Skipped 402026209 ('sector-2', 'cam2', 'ccd4') TIC not in AN File
Skipped 415969908 ('sector-2', 'cam1', 'ccd4') AN Score: 0.034

Skipped 305048087 ('sector-2', 'cam1', 'ccd1') TIC not in AN File
Skipped 9006668 ('sector-2', 'cam1', 'ccd4') TIC not in AN File
Skipped 120585579 ('sector-2', 'cam2', 'ccd3') TIC not in AN File
